tokenID,name,file_name,description,attributes[Type],attributes[Civilization Tier],attributes[Atmosphere],attributes[Orbital Belt],attributes[Tier],external_url
11,Aera 195,Aera_195.png,"Aera 195 stands beneath distant suns, patient and unhurried. A planet rich with terrestrial charm, oceans, and continents. Beautiful celestial rings encircle the planet. Shrouded in thick atmospheric clouds. Several moons orbit this planet, silent companions on its cosmic journey. Traces of tribal life echo across the planet's surface, hinting at budding progress.",Earthlike,Primitive,Clouds,Rings,Common,https://thonbo.com/uniworlds-nft
12,Aeraddon 46,Aeraddon_46.png,"Aeraddon 46 drifts in silent patterns, softly lit by starlight. Planet in mid-explosion, its pieces drifting outward. Encircled by majestic rings of dust and debris. Several moons orbit this planet, silent companions on its cosmic journey. Satellites and engineering feats encircle the planet, testaments to scientific progress.",Exploding,Spacefaring,,Rings,Common,https://thonbo.com/uniworlds-nft
13,Aeriaangolia 251,Aeriaangolia_251.png,"Aeriaangolia 251 drifts in silent patterns, softly lit by starlight. A rugged, rocky planet with uneven terrain. Asteroids densely cluster around this celestial body. Moons quietly revolve, adding mystery to this planet. This world thrives under the watchful eyes of a spacefaring culture.",Rough,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
14,Aerialer 311,Aerialer_311.png,"Aerialer 311 orbits among the stars, a small part of the cosmic sea. Planet rupturing under immense cosmic pressure, scattering fragments. Adorned by stunning planetary rings of dust. A multitude of moons orbit, silently accompanying this world. This lonely world bears no signs of civilization, only endless solitude.",Exploding,Uninhabited,,Rings,Common,https://thonbo.com/uniworlds-nft
15,Aeriatara 268,Aeriatara_268.png,"Aeriatara 268 orbits among the stars, a small part of the cosmic sea. A planet rich with terrestrial charm, oceans, and continents. Drifting asteroids form a dense orbital belt around this planet. Moons quietly circle this world, adding intrigue to its appearance. This world thrives under the watchful eyes of a spacefaring culture.",Earthlike,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
16,Aeriatropic 364,Aeriatropic_364.png,"Aeriatropic 364 orbits among the stars, a small part of the cosmic sea. Planet in mid-explosion, its pieces drifting outward. Countless asteroids accompany this planet on its voyage. Moons quietly revolve, adding mystery to this planet. This world thrives under the watchful eyes of a spacefaring culture.",Exploding,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
17,Aeriru Alpha,Aeriru_Alpha.png,"Aeriru Alpha orbits among the stars, a small part of the cosmic sea. A lifeless, flat celestial surface, scarred by craters. Drifting asteroids form a dense orbital belt around this planet. Moons gracefully orbit, enhancing the planet's cosmic presence. Signs of interstellar trade and commerce abound, linking this planet to distant systems.",Flat,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
18,Aeriza Wonan 131,Aeriza_Wonan_131.png,"Aeriza Wonan 131 orbits among the stars, a small part of the cosmic sea. This planet is flat, crater-ridden, and lifeless. Moons gracefully orbit, enhancing the planet's cosmic presence. This lonely world bears no signs of civilization, only endless solitude.",Flat,Uninhabited,,,Common,https://thonbo.com/uniworlds-nft
19,Aerkail Meroin Quintus,Aerkail_Meroin_Quintus.png,"Aerkail Meroin Quintus drifts in silent patterns, softly lit by starlight. The universe's own golf ball, vast and spherical with classic dimples. Several moons orbit this planet, silent companions on its cosmic journey. Satellites and engineering feats encircle the planet, testaments to scientific progress.",Golfball,Spacefaring,,,Rare,https://thonbo.com/uniworlds-nft
20,Aerkien So'opia,Aerkien_Soopia.png,"Aerkien So'opia orbits among the stars, a small part of the cosmic sea. A refined, marble-textured planet that embodies the splendor and grace of polished stone. Countless asteroids accompany this planet on its voyage. Moons quietly circle this world, adding intrigue to its appearance. No civilization has ever thrived here, leaving the planet free from footprints of progress.",Marble,Uninhabited,,Asteroids,Rare,https://thonbo.com/uniworlds-nft
21,Aernicus Zeta,Aernicus_Zeta.png,"Aernicus Zeta stands beneath distant suns, patient and unhurried. Covered entirely with unusual, sharp formations. Drifting asteroids form a dense orbital belt around this planet. Moons quietly revolve, adding mystery to this planet. Evidence of early civilization dots the landscape, brimming with ancient lore.",Protrusion,Primitive,,Asteroids,Common,https://thonbo.com/uniworlds-nft
22,Aernor IX,Aernor_IX.png,"Aernor IX stands beneath distant suns, patient and unhurried. This planet is flat, crater-ridden, and lifeless. Moons gracefully orbit, enhancing the planet's cosmic presence. Simple communities flourished here before more advanced visitors arrived.",Flat,Primitive,,,Common,https://thonbo.com/uniworlds-nft
23,Aertronia 193,Aertronia_193.png,"Aertronia 193 floats in the dark sky, calm and faintly shining. Planet rupturing under immense cosmic pressure, scattering fragments. An asteroid field encircles this mysterious planet. Moons quietly circle this world, adding intrigue to its appearance. The planet's barren expanse remains untouched by technology or settlement.",Exploding,Uninhabited,,Asteroids,Common,https://thonbo.com/uniworlds-nft
24,Aglox Corrtaria e2,Aglox_Corrtaria_e2.png,"Aglox Corrtaria e2 glides through the heavens, steady and quiet. A rugged, rocky planet with uneven terrain. Beautiful celestial rings encircle the planet. Moons quietly circle this world, adding intrigue to its appearance. Silence envelops this world, devoid of any sentient interference.",Rough,Uninhabited,,Rings,Common,https://thonbo.com/uniworlds-nft
25,Agule,Agule.png,"Agule stands beneath distant suns, patient and unhurried. World exploding dramatically, fragmenting across space. Adorned by stunning planetary rings of dust. Several moons orbit this planet, silent companions on its cosmic journey. This world thrives under the watchful eyes of a spacefaring culture.",Exploding,Spacefaring,,Rings,Common,https://thonbo.com/uniworlds-nft
26,Airu Notos,Airu_Notos.png,"Airu Notos drifts in silent patterns, softly lit by starlight. A lifeless, flat celestial surface, scarred by craters. Moons quietly circle this world, adding intrigue to its appearance. This lonely world bears no signs of civilization, only endless solitude.",Flat,Uninhabited,,,Common,https://thonbo.com/uniworlds-nft
27,AKIK 1803,AKIK_1803.png,"AKIK 1803 glides through the heavens, steady and quiet. This planet boasts vibrant landscapes and deep blue seas. Cosmic dust and ice form a breathtaking ring system. Covered by a dense, swirling cloud layer. A multitude of moons orbit, silently accompanying this world. Simple communities flourished here before more advanced visitors arrived.",Earthlike,Primitive,Clouds,Rings,Common,https://thonbo.com/uniworlds-nft
28,Alpha Amonule Byteal,Alpha_Amonule_Byteal.png,"Alpha Amonule Byteal drifts in silent patterns, softly lit by starlight. A rough, craggy planetary landscape dominates this world. Encircled by majestic rings of dust and debris. Several moons orbit this planet, silent companions on its cosmic journey. The planet's barren expanse remains untouched by technology or settlement.",Rough,Uninhabited,,Rings,Common,https://thonbo.com/uniworlds-nft
29,Alpha Cegolia,Alpha_Cegolia.png,"Alpha Cegolia floats in the dark sky, calm and faintly shining. Planet in mid-explosion, its pieces drifting outward. Adorned by stunning planetary rings of dust. A multitude of moons orbit, silently accompanying this world. Orbital stations and advanced infrastructure proclaim a civilization of cosmic reach.",Exploding,Spacefaring,,Rings,Common,https://thonbo.com/uniworlds-nft
30,Alpha Coperlax 321,Alpha_Coperlax_321.png,"Alpha Coperlax 321 drifts in silent patterns, softly lit by starlight. A planetary disk filled with empty craters and flat plains. Surrounded by expansive, glittering rings. A multitude of moons orbit, silently accompanying this world. Satellites and engineering feats encircle the planet, testaments to scientific progress.",Flat,Spacefaring,,Rings,Common,https://thonbo.com/uniworlds-nft
31,Alpha Omega Aervis Abtose's Reach,Alpha_Omega_Aervis_Abtoses_Reach.png,"Alpha Omega Aervis Abtose's Reach drifts in silent patterns, softly lit by starlight. World exploding dramatically, fragmenting across space. Asteroids densely cluster around this celestial body. Several moons orbit this planet, silent companions on its cosmic journey. Satellites and engineering feats encircle the planet, testaments to scientific progress.",Exploding,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
32,Alpha Omega Bitburto,Alpha_Omega_Bitburto.png,"Alpha Omega Bitburto orbits among the stars, a small part of the cosmic sea. Planet rupturing under immense cosmic pressure, scattering fragments. Drifting asteroids form a dense orbital belt around this planet. A multitude of moons orbit, silently accompanying this world. Spacecraft and technological marvels populate the skies, proof of advanced inhabitants.",Exploding,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
33,Alpha Omega Kaanella,Alpha_Omega_Kaanella.png,"Alpha Omega Kaanella drifts in silent patterns, softly lit by starlight. An Earthlike world of remarkable natural beauty. A thick veil of clouds surrounds this planet. A multitude of moons orbit, silently accompanying this world. Simple communities flourished here before more advanced visitors arrived.",Earthlike,Primitive,Clouds,,Common,https://thonbo.com/uniworlds-nft
34,Alpha Omega Merbudram Agongolia,Alpha_Omega_Merbudram_Agongolia.png,"Alpha Omega Merbudram Agongolia floats in the dark sky, calm and faintly shining. Barren, flat planet scarred by endless craters. A multitude of moons orbit, silently accompanying this world. Evidence of early civilization dots the landscape, brimming with ancient lore.",Flat,Primitive,,,Common,https://thonbo.com/uniworlds-nft
35,Alpha Omega Narpod's Forge,Alpha_Omega_Narpods_Forge.png,"Alpha Omega Narpod's Forge orbits among the stars, a small part of the cosmic sea. A rugged, rocky planet with uneven terrain. Asteroids densely cluster around this celestial body. Moons quietly revolve, adding mystery to this planet. Satellites and engineering feats encircle the planet, testaments to scientific progress.",Rough,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
36,Alpha Omega Nireran 12,Alpha_Omega_Nireran_12.png,"Alpha Omega Nireran 12 orbits among the stars, a small part of the cosmic sea. Marble-like strata gleam softly under distant starlight, highlighting intricate stone patterns. An asteroid field encircles this mysterious planet. Several moons orbit this planet, silent companions on its cosmic journey. No civilization has ever thrived here, leaving the planet free from footprints of progress.",Marble,Uninhabited,,Asteroids,Rare,https://thonbo.com/uniworlds-nft
37,Alpha Omega Nontos Waneus e1,Alpha_Omega_Nontos_Waneus_e1.png,"Alpha Omega Nontos Waneus e1 orbits among the stars, a small part of the cosmic sea. This world’s crust showcases flowing veined stone, as though carved from the finest marble. Drifting asteroids form a dense orbital belt around this planet. A multitude of moons orbit, silently accompanying this world. This world thrives under the watchful eyes of a spacefaring culture.",Marble,Spacefaring,,Asteroids,Rare,https://thonbo.com/uniworlds-nft
38,Alpha Omega Scarkien,Alpha_Omega_Scarkien.png,"Alpha Omega Scarkien floats in the dark sky, calm and faintly shining. A terrestrial paradise filled with lush lands and oceans. Countless asteroids accompany this planet on its voyage. Moons quietly circle this world, adding intrigue to its appearance. Simple communities flourished here before more advanced visitors arrived.",Earthlike,Primitive,,Asteroids,Common,https://thonbo.com/uniworlds-nft
39,Alpha Omega Sotcaris,Alpha_Omega_Sotcaris.png,"Alpha Omega Sotcaris orbits among the stars, a small part of the cosmic sea. A planetary disk filled with empty craters and flat plains. Beautiful celestial rings encircle the planet. Several moons orbit this planet, silent companions on its cosmic journey. No civilization has ever thrived here, leaving the planet free from footprints of progress.",Flat,Uninhabited,,Rings,Common,https://thonbo.com/uniworlds-nft
40,Alpha Omega Ter Threpdaleko,Alpha_Omega_Ter_Threpdaleko.png,"Alpha Omega Ter Threpdaleko orbits among the stars, a small part of the cosmic sea. Alien-like protrusions dramatically decorate this planet. Beautiful celestial rings encircle the planet. Moons quietly revolve, adding mystery to this planet. This lonely world bears no signs of civilization, only endless solitude.",Protrusion,Uninhabited,,Rings,Common,https://thonbo.com/uniworlds-nft
41,Alpha Omega Vadsea Niblos 62,Alpha_Omega_Vadsea_Niblos_62.png,"Alpha Omega Vadsea Niblos 62 glides through the heavens, steady and quiet. Planet in mid-explosion, its pieces drifting outward. Drifting asteroids form a dense orbital belt around this planet. Several moons orbit this planet, silent companions on its cosmic journey. Spacecraft and technological marvels populate the skies, proof of advanced inhabitants.",Exploding,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
42,Alpha Omega Vaduridan,Alpha_Omega_Vaduridan.png,"Alpha Omega Vaduridan orbits among the stars, a small part of the cosmic sea. An irregular surface, rough with cliffs and valleys. An asteroid field encircles this mysterious planet. Moons quietly revolve, adding mystery to this planet. Signs of interstellar trade and commerce abound, linking this planet to distant systems.",Rough,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
43,Alpha Omega Vadutlis,Alpha_Omega_Vadutlis.png,"Alpha Omega Vadutlis orbits among the stars, a small part of the cosmic sea. Celestial body cracking and exploding under pressure. Moons quietly circle this world, adding intrigue to its appearance. Signs of interstellar trade and commerce abound, linking this planet to distant systems.",Exploding,Spacefaring,,,Common,https://thonbo.com/uniworlds-nft
44,Alpha Omega Veres's Stronghold,Alpha_Omega_Veress_Stronghold.png,"Alpha Omega Veres's Stronghold glides through the heavens, steady and quiet. A planet rich with terrestrial charm, oceans, and continents. Cosmic dust and ice form a breathtaking ring system. Shrouded in thick atmospheric clouds. Several moons orbit this planet, silent companions on its cosmic journey. Traces of tribal life echo across the planet's surface, hinting at budding progress.",Earthlike,Primitive,Clouds,Rings,Common,https://thonbo.com/uniworlds-nft
45,Alpha Omega Whimdai Eaka,Alpha_Omega_Whimdai_Eaka.png,"Alpha Omega Whimdai Eaka drifts in silent patterns, softly lit by starlight. Cold, silent, and devoid of any signs of life. Surrounded by a dense field of drifting asteroids. Moons quietly circle this world, adding intrigue to its appearance. Signs of interstellar trade and commerce abound, linking this planet to distant systems.",Dead,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
46,Alpha Tam,Alpha_Tam.png,"Alpha Tam stands beneath distant suns, patient and unhurried. Basketball-inspired planet, orange and grooved. Beautiful celestial rings encircle the planet. Moons quietly circle this world, adding intrigue to its appearance. Signs of interstellar trade and commerce abound, linking this planet to distant systems.",Basketball,Spacefaring,,Rings,Rare,https://thonbo.com/uniworlds-nft
47,Alpha Tatlejos's Terminus,Alpha_Tatlejoss_Terminus.png,"Alpha Tatlejos's Terminus orbits among the stars, a small part of the cosmic sea. A lifeless, flat celestial surface, scarred by craters. Beautiful celestial rings encircle the planet. Moons quietly circle this world, adding intrigue to its appearance. Spacecraft and technological marvels populate the skies, proof of advanced inhabitants.",Flat,Spacefaring,,Rings,Common,https://thonbo.com/uniworlds-nft
48,Alpha Ter Threpoda Viselius,Alpha_Ter_Threpoda_Viselius.png,"Alpha Ter Threpoda Viselius orbits among the stars, a small part of the cosmic sea. A planetary disk filled with empty craters and flat plains. Moons quietly circle this world, adding intrigue to its appearance. The planet's barren expanse remains untouched by technology or settlement.",Flat,Uninhabited,,,Common,https://thonbo.com/uniworlds-nft
49,Alpha Thryalis Than Doknor,Alpha_Thryalis_Than_Doknor.png,"Alpha Thryalis Than Doknor glides through the heavens, steady and quiet. World exploding dramatically, fragmenting across space. Adorned by stunning planetary rings of dust. A multitude of moons orbit, silently accompanying this world. Ruins of sophisticated architecture lie abandoned, haunted by echoes of a lost era.",Exploding,Ruins,,Rings,Common,https://thonbo.com/uniworlds-nft
50,Alpha Veruram Bittan,Alpha_Veruram_Bittan.png,"Alpha Veruram Bittan stands beneath distant suns, patient and unhurried. Uneven, harsh surfaces shape this planet. Moons quietly circle this world, adding intrigue to its appearance. Nature reigns supreme, unchallenged by intelligent life.",Rough,Uninhabited,,,Common,https://thonbo.com/uniworlds-nft
51,Alpha Vivchin Munan,Alpha_Vivchin_Munan.png,"Alpha Vivchin Munan drifts in silent patterns, softly lit by starlight. Barren, flat planet scarred by endless craters. Cosmic dust and ice form a breathtaking ring system. A multitude of moons orbit, silently accompanying this world. This lonely world bears no signs of civilization, only endless solitude.",Flat,Uninhabited,,Rings,Common,https://thonbo.com/uniworlds-nft
52,Alpha Waruria,Alpha_Waruria.png,"Alpha Waruria orbits among the stars, a small part of the cosmic sea. Planetary basketball detailed with characteristic grooves and texture. Moons quietly revolve, adding mystery to this planet. Spacecraft and technological marvels populate the skies, proof of advanced inhabitants.",Basketball,Spacefaring,,,Rare,https://thonbo.com/uniworlds-nft
53,Amamis Majestesh,Amamis_Majestesh.png,"Amamis Majestesh drifts in silent patterns, softly lit by starlight. Uneven, harsh surfaces shape this planet. Moons quietly circle this world, adding intrigue to its appearance. No civilization has ever thrived here, leaving the planet free from footprints of progress.",Rough,Uninhabited,,,Common,https://thonbo.com/uniworlds-nft
54,Amdania 378,Amdania_378.png,"Amdania 378 orbits among the stars, a small part of the cosmic sea. A planetary disk filled with empty craters and flat plains. Beautiful celestial rings encircle the planet. A multitude of moons orbit, silently accompanying this world. No civilization has ever thrived here, leaving the planet free from footprints of progress.",Flat,Uninhabited,,Rings,Common,https://thonbo.com/uniworlds-nft
55,Amebus 12,Amebus_12.png,"Amebus 12 orbits among the stars, a small part of the cosmic sea. Cold, silent, and devoid of any signs of life. Beautiful celestial rings encircle the planet. Moons quietly revolve, adding mystery to this planet. Orbital stations and advanced infrastructure proclaim a civilization of cosmic reach.",Dead,Spacefaring,,Rings,Common,https://thonbo.com/uniworlds-nft
56,Amelos Major,Amelos_Major.png,"Amelos Major glides through the heavens, steady and quiet. A lifeless stone wandering through the void. Beautiful celestial rings encircle the planet. Several moons orbit this planet, silent companions on its cosmic journey. Ancient buildings and shattered relics tell a tragic story of decline.",Dead,Ruins,,Rings,Common,https://thonbo.com/uniworlds-nft
57,Amilla 68,Amilla_68.png,"Amilla 68 floats in the dark sky, calm and faintly shining. A terrestrial paradise filled with lush lands and oceans. An asteroid field encircles this mysterious planet. A thick veil of clouds surrounds this planet. Moons quietly circle this world, adding intrigue to its appearance. Silence envelops this world, devoid of any sentient interference.",Earthlike,Uninhabited,Clouds,Asteroids,Common,https://thonbo.com/uniworlds-nft
58,Amol,Amol.png,"Amol floats in the dark sky, calm and faintly shining. This planet boasts vibrant landscapes and deep blue seas. Asteroids densely cluster around this celestial body. A thick veil of clouds surrounds this planet. Moons gracefully orbit, enhancing the planet's cosmic presence. Spacecraft and technological marvels populate the skies, proof of advanced inhabitants.",Earthlike,Spacefaring,Clouds,Asteroids,Common,https://thonbo.com/uniworlds-nft
59,Amonaddon,Amonaddon.png,"Amonaddon stands beneath distant suns, patient and unhurried. A lively, Earth-inspired planet full of greenery and water. An asteroid field encircles this mysterious planet. Moons gracefully orbit, enhancing the planet's cosmic presence. No civilization has ever thrived here, leaving the planet free from footprints of progress.",Earthlike,Uninhabited,,Asteroids,Common,https://thonbo.com/uniworlds-nft
60,Amonadon Alpha,Amonadon_Alpha.png,"Amonadon Alpha glides through the heavens, steady and quiet. Uneven, harsh surfaces shape this planet. Moons quietly circle this world, adding intrigue to its appearance. Spacecraft and technological marvels populate the skies, proof of advanced inhabitants.",Rough,Spacefaring,,,Common,https://thonbo.com/uniworlds-nft
61,Amonaleko 297,Amonaleko_297.png,"Amonaleko 297 floats in the dark sky, calm and faintly shining. An Earthlike world of remarkable natural beauty. Encircled by majestic rings of dust and debris. Moons gracefully orbit, enhancing the planet's cosmic presence. Orbital stations and advanced infrastructure proclaim a civilization of cosmic reach.",Earthlike,Spacefaring,,Rings,Common,https://thonbo.com/uniworlds-nft
62,Amonanella 4,Amonanella_4.png,"Amonanella 4 orbits among the stars, a small part of the cosmic sea. A rugged, rocky planet with uneven terrain. Moons quietly revolve, adding mystery to this planet. Silence envelops this world, devoid of any sentient interference.",Rough,Uninhabited,,,Common,https://thonbo.com/uniworlds-nft
63,Amoncania 87,Amoncania_87.png,"Amoncania 87 floats in the dark sky, calm and faintly shining. A terrestrial paradise filled with lush lands and oceans. Adorned by stunning planetary rings of dust. Moons quietly revolve, adding mystery to this planet. Primitive customs and traditions linger in half-buried relics.",Earthlike,Primitive,,Rings,Common,https://thonbo.com/uniworlds-nft
64,Amonpid 367,Amonpid_367.png,"Amonpid 367 glides through the heavens, steady and quiet. This planet is flat, crater-ridden, and lifeless. A multitude of moons orbit, silently accompanying this world. Signs of interstellar trade and commerce abound, linking this planet to distant systems.",Flat,Spacefaring,,,Common,https://thonbo.com/uniworlds-nft
65,Amonutlis,Amonutlis.png,"Amonutlis orbits among the stars, a small part of the cosmic sea. A lively, Earth-inspired planet full of greenery and water. Encircled by majestic rings of dust and debris. Covered by a dense, swirling cloud layer. Moons gracefully orbit, enhancing the planet's cosmic presence. Traces of tribal life echo across the planet's surface, hinting at budding progress.",Earthlike,Primitive,Clouds,Rings,Common,https://thonbo.com/uniworlds-nft
66,Amumi's Retreat,Amumis_Retreat.png,"Amumi's Retreat orbits among the stars, a small part of the cosmic sea. A planet rich with terrestrial charm, oceans, and continents. Covered by a dense, swirling cloud layer. Moons quietly revolve, adding mystery to this planet. Early tribes or fledgling societies once roamed here, shaping rudimentary culture.",Earthlike,Primitive,Clouds,,Common,https://thonbo.com/uniworlds-nft
67,Amvav I,Amvav_I.png,"Amvav I floats in the dark sky, calm and faintly shining. A terrestrial paradise filled with lush lands and oceans. Beautiful celestial rings encircle the planet. Covered by a dense, swirling cloud layer. Moons quietly circle this world, adding intrigue to its appearance. Early tribes or fledgling societies once roamed here, shaping rudimentary culture.",Earthlike,Primitive,Clouds,Rings,Common,https://thonbo.com/uniworlds-nft
68,Anaarnia,Anaarnia.png,"Anaarnia drifts in silent patterns, softly lit by starlight. This planet boasts vibrant landscapes and deep blue seas. Encircled by majestic rings of dust and debris. Moons quietly revolve, adding mystery to this planet. Traces of tribal life echo across the planet's surface, hinting at budding progress.",Earthlike,Primitive,,Rings,Common,https://thonbo.com/uniworlds-nft
69,Anafiner Poolongolia,Anafiner_Poolongolia.png,"Anafiner Poolongolia glides through the heavens, steady and quiet. Covered entirely with unusual, sharp formations. Cosmic dust and ice form a breathtaking ring system. A multitude of moons orbit, silently accompanying this world. This lonely world bears no signs of civilization, only endless solitude.",Protrusion,Uninhabited,,Rings,Common,https://thonbo.com/uniworlds-nft
70,Anagania,Anagania.png,"Anagania stands beneath distant suns, patient and unhurried. Rocky terrain covers this rugged celestial body. Drifting asteroids form a dense orbital belt around this planet. A multitude of moons orbit, silently accompanying this world. Collapsed structures and eroded monuments reveal a once-thriving civilization.",Rough,Ruins,,Asteroids,Common,https://thonbo.com/uniworlds-nft
71,Anashaa,Anashaa.png,"Anashaa glides through the heavens, steady and quiet. A rough, craggy planetary landscape dominates this world. Drifting asteroids form a dense orbital belt around this planet. Moons quietly circle this world, adding intrigue to its appearance. Silence envelops this world, devoid of any sentient interference.",Rough,Uninhabited,,Asteroids,Common,https://thonbo.com/uniworlds-nft
72,Aneus,Aneus.png,"Aneus floats in the dark sky, calm and faintly shining. Uneven, harsh surfaces shape this planet. Moons gracefully orbit, enhancing the planet's cosmic presence. Signs of interstellar trade and commerce abound, linking this planet to distant systems.",Rough,Spacefaring,,,Common,https://thonbo.com/uniworlds-nft
73,Anland,Anland.png,"Anland floats in the dark sky, calm and faintly shining. Covered entirely with unusual, sharp formations. Moons gracefully orbit, enhancing the planet's cosmic presence. Spacecraft and technological marvels populate the skies, proof of advanced inhabitants.",Protrusion,Spacefaring,,,Common,https://thonbo.com/uniworlds-nft
74,Anthra,Anthra.png,"Anthra drifts in silent patterns, softly lit by starlight. An unusual celestial body grinning warmly at the universe. Cosmic dust and ice form a breathtaking ring system. Moons gracefully orbit, enhancing the planet's cosmic presence. Silence envelops this world, devoid of any sentient interference.",Smilie,Uninhabited,,Rings,Rare,https://thonbo.com/uniworlds-nft
75,Antshaa L'ntos,Antshaa_Lntos.png,"Antshaa L'ntos drifts in silent patterns, softly lit by starlight. Planet rupturing under immense cosmic pressure, scattering fragments. Moons quietly revolve, adding mystery to this planet. The planet's barren expanse remains untouched by technology or settlement.",Exploding,Uninhabited,,,Common,https://thonbo.com/uniworlds-nft
76,Antton Plochin,Antton_Plochin.png,"Antton Plochin floats in the dark sky, calm and faintly shining. Planet in mid-explosion, its pieces drifting outward. An asteroid field encircles this mysterious planet. A multitude of moons orbit, silently accompanying this world. Spacecraft and technological marvels populate the skies, proof of advanced inhabitants.",Exploding,Spacefaring,,Asteroids,Common,https://thonbo.com/uniworlds-nft
77,Antus Zeta,Antus_Zeta.png,"Antus Zeta stands beneath distant suns, patient and unhurried. A smooth, dimpled planetary body resembling an enormous golf ball. A multitude of moons orbit, silently accompanying this world. This lonely world bears no signs of civilization, only endless solitude.",Golfball,Uninhabited,,,Rare,https://thonbo.com/uniworlds-nft
78,Aovin S'am 32,Aovin_Sam_32.png,"Aovin S'am 32 stands beneath distant suns, patient and unhurried. A lifeless, flat celestial surface, scarred by craters. Moons quietly circle this world, adding intrigue to its appearance. This world thrives under the watchful eyes of a spacefaring culture.",Flat,Spacefaring,,,Common,https://thonbo.com/uniworlds-nft
